时间/s\到药材中心的距离/cm,0,0.5,1,1.5,2
100,28.0001,28.0003,28.0040,28.0327,28.1767
300,28.0408,28.0635,28.1514,28.3681,28.8402
600,28.4533,28.5361,28.8040,29.3160,30.1521
900,29.3243,29.4583,29.8755,30.6162,31.7141
1200,30.5427,30.7098,31.2224,32.1126,33.4083
1500,31.9957,32.1868,32.7661,33.7463,35.1010
1800,33.5754,33.7720,34.3642,35.3622,36.7651
