time,0.0,0.5,1.0,1.5,2.0
1.800000000000000000e+03,3.218924151013976598e+01,3.238214246040895006e+01,3.296597293994179267e+01,3.396082001789377358e+01,3.539178765434198937e+01
3.600000000000000000e+03,4.038153275925774466e+01,4.055355806828310961e+01,4.106047473408423087e+01,4.187821494456430571e+01,4.298148902766576640e+01
5.400000000000000000e+03,4.584672353818410784e+01,4.593479156843123690e+01,4.619295147691885006e+01,4.660508914666425540e+01,4.713285815412172042e+01
7.200000000000000000e+03,4.845021701850367180e+01,4.848804773415302805e+01,4.859842936370092303e+01,4.877353377581737703e+01,4.900020694956364053e+01
9.000000000000000000e+03,4.946697145168734977e+01,4.947921295803618591e+01,4.951364094092662782e+01,4.956532216195797957e+01,4.965880685727399424e+01
1.080000000000000000e+04,4.984948563998142390e+01,4.985533261580107478e+01,4.987460683279733331e+01,4.991014636514483982e+01,4.996552626227868643e+01
