时间（小时）,中心（0厘米）,半径0.5厘米,半径1.0厘米,半径1.5厘米,表面半径2.0厘米
0.5000,32.1907,32.3836,32.9673,33.9620,35.4140
1.0000,40.3816,40.5536,41.0605,41.8783,42.9978
1.5000,45.8461,45.9342,46.1924,46.6045,47.1396
2.0000,48.4497,48.4875,48.5980,48.7731,49.0030
2.5000,49.4666,49.4789,49.5133,49.5652,49.6610
3.0000,49.8494,49.8553,49.8745,49.9101,49.9664
