time,0.0,0.5,1.0,1.5,2.0
2.160000000000000000e+04,1.018918350676528028e+00,9.900992408429837299e-01,9.035557189721034055e-01,7.572311145489176720e-01,5.390911777003858374e-01
4.320000000000000000e+04,4.566580520681665090e-01,4.436741502472654752e-01,4.035930474081050878e-01,3.302643921838034902e-01,1.701949264277379525e-01
6.480000000000000000e+04,2.988121363799661201e-01,2.915239842496893385e-01,2.686953276799186052e-01,2.253083015785627974e-01,9.610307346460891798e-02
8.640000000000000000e+04,2.376358588755332069e-01,2.325843412652855158e-01,2.166012961474883258e-01,1.854959674021740557e-01,8.025638035293322647e-02
1.080000000000000000e+05,2.056389642467993106e-01,2.016707857256143377e-01,1.890304589247063238e-01,1.640427971167855437e-01,7.353985424437306517e-02
1.296000000000000000e+05,1.856986319804959928e-01,1.823615472856534581e-01,1.716811350083048415e-01,1.503348322897637424e-01,6.965520930190852167e-02
1.512000000000000000e+05,1.718981723129515693e-01,1.689750569184469420e-01,1.595865330724962061e-01,1.406675684294778350e-01,6.704992990663571906e-02
1.728000000000000000e+05,1.616706304895740853e-01,1.590413028721612276e-01,1.505730888063003259e-01,1.333984766503793495e-01,6.514753659786109985e-02
1.944000000000000000e+05,1.537198647637810778e-01,1.513108769779207552e-01,1.435349999350229999e-01,1.276819446529975921e-01,6.367991420545074388e-02
