时间（小时）,中心（0厘米）,半径0.5厘米,半径1.0厘米,半径1.5厘米,表面半径2.0厘米
6.0000,1.0185,0.9896,0.9029,0.7562,0.5338
12.0000,0.4571,0.4440,0.4039,0.3304,0.1648
18.0000,0.2993,0.2920,0.2691,0.2256,0.0847
24.0000,0.2380,0.2330,0.2169,0.1856,0.0666
30.0000,0.2059,0.2020,0.1893,0.1641,0.0599
36.0000,0.1859,0.1826,0.1718,0.1503,0.0567
42.0000,0.1721,0.1692,0.1597,0.1406,0.0549
48.0000,0.1618,0.1592,0.1507,0.1334,0.0537
54.0000,0.1539,0.1514,0.1436,0.1276,0.0530
57.4667,0.1500,0.1477,0.1402,0.1248,0.0527
