插值方法,终止时间_s,终止时间_h,相对PCHIP终止时间差_h,相对PCHIP终止时间差_percent,相对PCHIP最大含水率场差,时间步数
PCHIP,184009.8927,51.1139,0.0000,0.0000,0.0000,3068
分段线性,184022.4708,51.1174,0.0035,0.0068,0.0017,3069
