time_s,z_m,z_cm,T_axis_2d_C,C_axis_2d,T_side_2d_C,C_side_2d,T_end_axis_surface_C,C_end_axis_surface
1800.0000,0.0466,4.6569,33.6849,2.5500,36.8483,1.5163,33.6849,2.5500
1800.0000,0.0515,5.1471,33.6688,2.5500,36.8393,1.5163,33.6688,2.5500
1800.0000,0.0564,5.6373,33.6596,2.5500,36.8342,1.5163,33.6596,2.5500
1800.0000,0.0613,6.1275,33.6545,2.5500,36.8314,1.5163,33.6545,2.5500
1800.0000,0.0662,6.6176,33.6518,2.5500,36.8298,1.5163,33.6518,2.5500
1800.0000,0.0711,7.1078,33.6503,2.5500,36.8290,1.5163,33.6503,2.5500
1800.0000,0.0760,7.5980,33.6495,2.5500,36.8285,1.5163,33.6495,2.5500
1800.0000,0.0809,8.0882,33.6491,2.5500,36.8283,1.5163,33.6491,2.5500
1800.0000,0.0858,8.5784,33.6489,2.5500,36.8282,1.5163,33.6489,2.5500
1800.0000,0.0907,9.0686,33.6488,2.5500,36.8281,1.5163,33.6488,2.5500
1800.0000,0.0956,9.5588,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1005,10.0490,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1054,10.5392,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1103,11.0294,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1152,11.5196,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1201,12.0098,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1250,12.5000,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1299,12.9902,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1348,13.4804,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1397,13.9706,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1446,14.4608,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1495,14.9510,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1544,15.4412,33.6487,2.5500,36.8281,1.5163,33.6487,2.5500
1800.0000,0.1593,15.9314,33.6488,2.5500,36.8281,1.5163,33.6488,2.5500
1800.0000,0.1642,16.4216,33.6489,2.5500,36.8282,1.5163,33.6489,2.5500
1800.0000,0.1691,16.9118,33.6491,2.5500,36.8283,1.5163,33.6491,2.5500
1800.0000,0.1740,17.4020,33.6495,2.5500,36.8285,1.5163,33.6495,2.5500
1800.0000,0.1789,17.8922,33.6503,2.5500,36.8290,1.5163,33.6503,2.5500
1800.0000,0.1838,18.3824,33.6518,2.5500,36.8298,1.5163,33.6518,2.5500
1800.0000,0.1887,18.8725,33.6545,2.5500,36.8314,1.5163,33.6545,2.5500
1800.0000,0.1936,19.3627,33.6596,2.5500,36.8342,1.5163,33.6596,2.5500
1800.0000,0.1985,19.8529,33.6688,2.5500,36.8393,1.5163,33.6688,2.5500
1800.0000,0.2034,20.3431,33.6849,2.5500,36.8483,1.5163,33.6849,2.5500
1800.0000,0.2083,20.8333,33.7128,2.5500,36.8638,1.5163,33.7128,2.5500
1800.0000,0.2132,21.3235,33.7598,2.5500,36.8900,1.5163,33.7598,2.5500
1800.0000,0.2181,21.8137,33.8375,2.5500,36.9334,1.5163,33.8375,2.5500
1800.0000,0.2230,22.3039,33.9633,2.5500,37.0036,1.5163,33.9633,2.5500
1800.0000,0.2279,22.7941,34.1621,2.5499,37.1149,1.5163,34.1621,2.5499
1800.0000,0.2328,23.2843,34.4694,2.5492,37.2875,1.5159,34.4694,2.5492
1800.0000,0.2377,23.7745,34.9339,2.5423,37.5499,1.5121,34.9339,2.5423
1800.0000,0.2426,24.2647,35.6208,2.4855,37.9426,1.4783,35.6208,2.4855
1800.0000,0.2475,24.7549,36.6181,2.1445,38.5256,1.2584,37.3300,1.5156
3600.0000,0.0025,0.2451,44.6984,1.8883,45.8110,0.8744,45.1037,1.3166
3600.0000,0.0074,0.7353,44.0883,2.3699,45.4613,1.1449,44.0883,2.3699
3600.0000,0.0123,1.2255,43.6197,2.5082,45.1969,1.2142,43.6197,2.5082
3600.0000,0.0172,1.7157,43.2633,2.5391,44.9971,1.2284,43.2633,2.5391
3600.0000,0.0221,2.2059,42.9961,2.5446,44.8478,1.2308,42.9961,2.5446
3600.0000,0.0270,2.6961,42.7985,2.5454,44.7376,1.2311,42.7985,2.5454
3600.0000,0.0319,3.1863,42.6542,2.5455,44.6571,1.2311,42.6542,2.5455
3600.0000,0.0368,3.6765,42.5500,2.5455,44.5991,1.2311,42.5500,2.5455
3600.0000,0.0417,4.1667,42.4757,2.5455,44.5577,1.2311,42.4757,2.5455
3600.0000,0.0466,4.6569,42.4233,2.5455,44.5285,1.2311,42.4233,2.5455
3600.0000,0.0515,5.1471,42.3868,2.5455,44.5082,1.2311,42.3868,2.5455
3600.0000,0.0564,5.6373,42.3617,2.5455,44.4942,1.2311,42.3617,2.5455
3600.0000,0.0613,6.1275,42.3446,2.5455,44.4847,1.2311,42.3446,2.5455
3600.0000,0.0662,6.6176,42.3331,2.5455,44.4783,1.2311,42.3331,2.5455
3600.0000,0.0711,7.1078,42.3255,2.5455,44.4740,1.2311,42.3255,2.5455
3600.0000,0.0760,7.5980,42.3205,2.5455,44.4713,1.2311,42.3205,2.5455
3600.0000,0.0809,8.0882,42.3173,2.5455,44.4695,1.2311,42.3173,2.5455
3600.0000,0.0858,8.5784,42.3152,2.5455,44.4683,1.2311,42.3152,2.5455
3600.0000,0.0907,9.0686,42.3139,2.5455,44.4676,1.2311,42.3139,2.5455
3600.0000,0.0956,9.5588,42.3131,2.5455,44.4671,1.2311,42.3131,2.5455
3600.0000,0.1005,10.0490,42.3125,2.5455,44.4668,1.2311,42.3125,2.5455
3600.0000,0.1054,10.5392,42.3122,2.5455,44.4667,1.2311,42.3122,2.5455
3600.0000,0.1103,11.0294,42.3121,2.5455,44.4666,1.2311,42.3121,2.5455
3600.0000,0.1152,11.5196,42.3120,2.5455,44.4665,1.2311,42.3120,2.5455
3600.0000,0.1201,12.0098,42.3119,2.5455,44.4665,1.2311,42.3119,2.5455
3600.0000,0.1250,12.5000,42.3119,2.5455,44.4665,1.2311,42.3119,2.5455
3600.0000,0.1299,12.9902,42.3119,2.5455,44.4665,1.2311,42.3119,2.5455
3600.0000,0.1348,13.4804,42.3120,2.5455,44.4665,1.2311,42.3120,2.5455
3600.0000,0.1397,13.9706,42.3121,2.5455,44.4666,1.2311,42.3121,2.5455
3600.0000,0.1446,14.4608,42.3122,2.5455,44.4667,1.2311,42.3122,2.5455
3600.0000,0.1495,14.9510,42.3125,2.5455,44.4668,1.2311,42.3125,2.5455
3600.0000,0.1544,15.4412,42.3131,2.5455,44.4671,1.2311,42.3131,2.5455
3600.0000,0.1593,15.9314,42.3139,2.5455,44.4676,1.2311,42.3139,2.5455
3600.0000,0.1642,16.4216,42.3152,2.5455,44.4683,1.2311,42.3152,2.5455
3600.0000,0.1691,16.9118,42.3173,2.5455,44.4695,1.2311,42.3173,2.5455
3600.0000,0.1740,17.4020,42.3205,2.5455,44.4713,1.2311,42.3205,2.5455
3600.0000,0.1789,17.8922,42.3255,2.5455,44.4740,1.2311,42.3255,2.5455
3600.0000,0.1838,18.3824,42.3331,2.5455,44.4783,1.2311,42.3331,2.5455
3600.0000,0.1887,18.8725,42.3446,2.5455,44.4847,1.2311,42.3446,2.5455
3600.0000,0.1936,19.3627,42.3617,2.5455,44.4942,1.2311,42.3617,2.5455
3600.0000,0.1985,19.8529,42.3868,2.5455,44.5082,1.2311,42.3868,2.5455
3600.0000,0.2034,20.3431,42.4233,2.5455,44.5285,1.2311,42.4233,2.5455
3600.0000,0.2083,20.8333,42.4757,2.5455,44.5577,1.2311,42.4757,2.5455
3600.0000,0.2132,21.3235,42.5500,2.5455,44.5991,1.2311,42.5500,2.5455
3600.0000,0.2181,21.8137,42.6542,2.5455,44.6571,1.2311,42.6542,2.5455
3600.0000,0.2230,22.3039,42.7985,2.5454,44.7376,1.2311,42.7985,2.5454
3600.0000,0.2279,22.7941,42.9961,2.5446,44.8478,1.2308,42.9961,2.5446
3600.0000,0.2328,23.2843,43.2633,2.5391,44.9971,1.2284,43.2633,2.5391
3600.0000,0.2377,23.7745,43.6197,2.5082,45.1969,1.2142,43.6197,2.5082
3600.0000,0.2426,24.2647,44.0883,2.3699,45.4613,1.1449,44.0883,2.3699
3600.0000,0.2475,24.7549,44.6984,1.8883,45.8110,0.8744,45.1037,1.3166
5400.0000,0.0025,0.2451,48.2081,1.6988,48.6147,0.6502,48.3402,1.1684
5400.0000,0.0074,0.7353,47.9734,2.2367,48.4827,0.9284,47.9734,2.2367
5400.0000,0.0123,1.2255,47.7796,2.4376,48.3739,1.0188,47.7796,2.4376
5400.0000,0.0172,1.7157,47.6230,2.4991,48.2864,1.0442,47.6230,2.4991
5400.0000,0.0221,2.2059,47.4982,2.5145,48.2167,1.0500,47.4982,2.5145
5400.0000,0.0270,2.6961,47.3998,2.5177,48.1619,1.0511,47.3998,2.5177
5400.0000,0.0319,3.1863,47.3230,2.5183,48.1191,1.0513,47.3230,2.5183
5400.0000,0.0368,3.6765,47.2635,2.5184,48.0860,1.0513,47.2635,2.5184
5400.0000,0.0417,4.1667,47.2179,2.5184,48.0606,1.0513,47.2179,2.5184
5400.0000,0.0466,4.6569,47.1833,2.5184,48.0413,1.0513,47.1833,2.5184
5400.0000,0.0515,5.1471,47.1571,2.5184,48.0267,1.0513,47.1571,2.5184
